Complaint ID,Date received,Product,Sub-product,Issue,Sub-issue,Company,State,Submitted via,Date sent to company,Company response to consumer,Timely response?,Rating
10903718,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,NY,Web,11/23/2024,In progress,Yes,2
10903654,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,CA,Web,11/23/2024,In progress,Yes,3
10903657,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Unable to get your credit report or credit score,Problem getting your free annual credit report,"Early Warning Services, LLC",NY,Web,11/23/2024,Closed with explanation,Yes,1
10904461,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,PA,Web,11/23/2024,In progress,Yes,1
10904564,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,AZ,Web,11/23/2024,In progress,Yes,1
10904567,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,NY,Web,11/23/2024,In progress,Yes,2
10904537,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,NJ,Web,11/23/2024,In progress,Yes,2
10893050,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,FL,Web,11/23/2024,In progress,Yes,4
10893521,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,AL,Web,11/23/2024,In progress,Yes,5
11092050,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"EQUIFAX, INC.",WI,Web,12/10/2024,In progress,Yes,5
11092053,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"EQUIFAX, INC.",GA,Web,12/10/2024,In progress,Yes,4
11092056,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,Experian Information Solutions Inc.,NY,Web,12/10/2024,In progress,Yes,5
10894871,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Public record information inaccurate,LEXISNEXIS,GA,Web,11/23/2024,Closed with non-monetary relief,Yes,5
10859325,11/20/2024,Debt collection,Other debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,Experian Information Solutions Inc.,AZ,Web,11/20/2024,In progress,Yes,3
10903788,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,CT,Web,11/23/2024,In progress,Yes,3
10903734,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,CA,Web,11/23/2024,In progress,Yes,4
10893379,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,Experian Information Solutions Inc.,WA,Web,11/23/2024,In progress,Yes,2
10893383,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,Experian Information Solutions Inc.,TX,Web,11/23/2024,In progress,Yes,5
10892937,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,Experian Information Solutions Inc.,TX,Web,11/23/2024,In progress,Yes,5
11092055,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NY,Web,12/10/2024,In progress,Yes,4
11092060,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,ALLY FINANCIAL INC.,NY,Web,12/10/2024,In progress,Yes,3
11092063,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"EQUIFAX, INC.",CA,Web,12/10/2024,In progress,Yes,3
11092076,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",PA,Web,12/10/2024,In progress,Yes,4
11092078,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,Experian Information Solutions Inc.,CA,Web,12/10/2024,In progress,Yes,2
11092079,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,"EQUIFAX, INC.",LA,Web,12/10/2024,In progress,Yes,5
10903747,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,CT,Web,11/23/2024,In progress,Yes,2
10903752,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,PR,Web,11/23/2024,In progress,Yes,4
11092080,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"EQUIFAX, INC.",NC,Web,12/10/2024,In progress,Yes,2
11092081,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"EQUIFAX, INC.",CA,Web,12/10/2024,In progress,Yes,4
11092085,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,GA,Web,12/10/2024,In progress,Yes,4
10904125,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,Experian Information Solutions Inc.,AL,Web,11/23/2024,In progress,Yes,3
10904128,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,NC,Web,11/23/2024,In progress,Yes,3
10904147,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,NC,Web,11/23/2024,In progress,Yes,3
4348187,5/4/2021,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MO,Phone,5/4/2021,Closed with explanation,Yes,1
10903806,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,LEXISNEXIS,MD,Web,11/23/2024,Closed with explanation,Yes,2
10903808,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,MD,Web,11/23/2024,In progress,Yes,3
10903810,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,PR,Web,11/23/2024,In progress,Yes,5
4471667,6/18/2021,Mortgage,FHA mortgage,Struggling to pay mortgage,,"Rocket Mortgage, LLC",OH,Web,6/18/2021,Closed with explanation,Yes,5
4330038,4/27/2021,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"EQUIFAX, INC.",AL,Web,4/27/2021,Closed with explanation,Yes,1
4608908,8/6/2021,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,"I.C. System, Inc.",TX,Web,8/6/2021,Closed with explanation,Yes,4
4608734,8/6/2021,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,"CAINE & WEINER COMPANY, INC.",TX,Web,8/6/2021,Closed with explanation,Yes,4
4608679,8/6/2021,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MN,Web,8/6/2021,Closed with explanation,Yes,5
10903811,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,Experian Information Solutions Inc.,CA,Web,11/23/2024,In progress,Yes,4
10903779,11/22/2024,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,"Block, Inc.",KY,Phone,11/22/2024,Closed with explanation,Yes,2
10903781,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,LEXISNEXIS,CA,Web,11/23/2024,Closed with non-monetary relief,Yes,5
10903782,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,MD,Web,11/23/2024,In progress,Yes,4
4328546,4/26/2021,Credit card or prepaid card,General-purpose credit card or charge card,"Advertising and marketing, including promotional offers",Confusing or misleading advertising about the credit card,CAPITAL ONE FINANCIAL CORPORATION,IL,Web,4/26/2021,Closed with explanation,Yes,2
3809166,8/22/2020,Mortgage,Conventional home mortgage,Trouble during payment process,Trouble during payment process,Specialized Loan Servicing Holdings LLC,GA,Web,8/31/2020,Closed with explanation,Yes,2
10903819,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,Experian Information Solutions Inc.,FL,Web,11/23/2024,In progress,Yes,4
10903824,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,Experian Information Solutions Inc.,TX,Web,11/23/2024,In progress,Yes,2
10903826,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,Experian Information Solutions Inc.,IL,Web,11/23/2024,In progress,Yes,3
10903830,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,PR,Web,11/23/2024,In progress,Yes,5
10903832,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,FL,Web,11/23/2024,In progress,Yes,2
4474071,6/18/2021,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Investigation took more than 30 days,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CO,Web,6/18/2021,Closed with explanation,Yes,1
10897184,11/22/2024,Debt collection,Credit card debt,Written notification about debt,Didn't receive enough information to verify debt,Resurgent Capital Services L.P.,CA,Web,11/22/2024,Closed with explanation,Yes,3
10899079,11/22/2024,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,Resurgent Capital Services L.P.,CA,Web,11/22/2024,Closed with explanation,Yes,3
4474292,6/18/2021,Checking or savings account,Checking account,Managing an account,Banking errors,WELLS FARGO & COMPANY,SC,Web,6/18/2021,Closed with explanation,Yes,4
11092150,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"EQUIFAX, INC.",FL,Web,12/10/2024,In progress,Yes,4
3809039,8/22/2020,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,NY,Web,8/22/2020,Closed with explanation,Yes,4
11092167,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,"EQUIFAX, INC.",GA,Web,12/10/2024,In progress,Yes,5
10898672,11/22/2024,Debt collection,Credit card debt,Written notification about debt,Didn't receive notice of right to dispute,Resurgent Capital Services L.P.,PA,Web,11/22/2024,Closed with non-monetary relief,Yes,5
4470264,6/17/2021,Debt collection,Medical debt,Communication tactics,Frequent or repeated calls,Phoenix Financial Services LLC,ND,Web,6/17/2021,Closed with explanation,Yes,3
10904561,11/23/2024,Debt collection,Rental debt,Attempts to collect debt not owed,Debt is not yours,"National Credit Systems,Inc.",OH,Web,11/23/2024,Closed with explanation,Yes,3
4459251,6/14/2021,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,Experian Information Solutions Inc.,SC,Web,6/14/2021,Closed with explanation,Yes,1
4473920,6/18/2021,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,CAPITAL ONE FINANCIAL CORPORATION,NY,Web,6/24/2021,Closed with explanation,Yes,4
4470402,6/17/2021,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"Collection Resources, Inc.",NM,Web,6/17/2021,Closed with explanation,Yes,2
3807736,8/21/2020,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,TN,Web,8/21/2020,Closed with explanation,Yes,4
10903765,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,FL,Web,11/23/2024,In progress,Yes,3
10900699,11/22/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,LEXISNEXIS,IL,Web,11/22/2024,Closed with explanation,Yes,3
4348174,5/4/2021,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",OH,Web,5/4/2021,Closed with explanation,Yes,3
3807667,8/21/2020,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account status incorrect,"EQUIFAX, INC.",CA,Web,8/21/2020,Closed with explanation,Yes,1
11092216,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,"EQUIFAX, INC.",FL,Web,12/10/2024,In progress,Yes,4
3807793,8/21/2020,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NV,Web,8/21/2020,Closed with explanation,Yes,1
3809018,8/22/2020,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,"EQUIFAX, INC.",CA,Web,8/22/2020,Closed with explanation,Yes,5
10897565,11/22/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,LEXISNEXIS,TX,Web,11/22/2024,Closed with explanation,Yes,4
10869703,11/19/2024,"Money transfer, virtual currency, or money service",Virtual currency,Fraud or scam,Fraud or scam,"Coinbase, Inc.",CA,Web,11/22/2024,Closed with explanation,Yes,1
4350810,5/4/2021,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Was not notified of investigation status or results,"EQUIFAX, INC.",SC,Web,5/4/2021,Closed with explanation,Yes,4
10896322,11/22/2024,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt is not yours,Resurgent Capital Services L.P.,CA,Web,11/22/2024,Closed with non-monetary relief,Yes,3
10903847,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Investigation took more than 30 days,Experian Information Solutions Inc.,CA,Web,11/23/2024,In progress,Yes,4
10903814,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,TX,Web,11/23/2024,In progress,Yes,5
10903818,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,Experian Information Solutions Inc.,VA,Web,11/23/2024,In progress,Yes,2
10897327,11/22/2024,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt is not yours,Resurgent Capital Services L.P.,CA,Web,11/22/2024,Closed with explanation,Yes,4
10903772,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,MA,Web,11/23/2024,In progress,Yes,3
4348687,5/4/2021,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Public record information inaccurate,Experian Information Solutions Inc.,IN,Web,5/4/2021,Closed with non-monetary relief,Yes,5
11092431,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,"EQUIFAX, INC.",AZ,Web,12/10/2024,In progress,Yes,3
10903852,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,MA,Web,11/23/2024,In progress,Yes,5
10903860,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,FL,Web,11/23/2024,In progress,Yes,1
10903864,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,MA,Web,11/23/2024,In progress,Yes,5
10903865,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Investigation took more than 30 days,Experian Information Solutions Inc.,TN,Web,11/23/2024,In progress,Yes,2
10903869,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,Experian Information Solutions Inc.,NJ,Web,11/23/2024,In progress,Yes,5
10903879,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,Experian Information Solutions Inc.,WI,Web,11/23/2024,In progress,Yes,2
11092488,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,"EQUIFAX, INC.",MI,Web,12/10/2024,In progress,Yes,3
